Namespace(exp_name='new_lrgm2', model='GTNet', dataset='modelnet40', batch_size=16, test_batch_size=16, epochs=200, use_sgd=True, lr=0.01, momentum=0.9, scheduler='step', no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='', test_sampler='random')
Using GPU : 0 from 1 devices
Namespace(exp_name='new_lrgm2', model='GTNet', dataset='modelnet40', batch_size=16, test_batch_size=16, epochs=200, use_sgd=True, lr=0.01, momentum=0.9, scheduler='step', no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='', test_sampler='random')
Using GPU : 0 from 1 devices
Train 114, loss: 0.846906, train acc: 0.976728, train avg acc: 0.963798
Test 114, loss: 0.942790, test acc: 0.915721, test avg acc: 0.882628
Train 115, loss: 0.847292, train acc: 0.976524, train avg acc: 0.964327
Test 115, loss: 0.943883, test acc: 0.916126, test avg acc: 0.885878
Train 116, loss: 0.849978, train acc: 0.975508, train avg acc: 0.962878
Test 116, loss: 0.944048, test acc: 0.918152, test avg acc: 0.890209
Train 117, loss: 0.848569, train acc: 0.974492, train avg acc: 0.962380
Test 117, loss: 0.943284, test acc: 0.917342, test avg acc: 0.888547
Train 118, loss: 0.845934, train acc: 0.977337, train avg acc: 0.965487
Test 118, loss: 0.948915, test acc: 0.916532, test avg acc: 0.884250
Train 119, loss: 0.849458, train acc: 0.976321, train avg acc: 0.964292
Test 119, loss: 0.947039, test acc: 0.914506, test avg acc: 0.884424
Train 120, loss: 0.851287, train acc: 0.975000, train avg acc: 0.961478
Test 120, loss: 0.945854, test acc: 0.919368, test avg acc: 0.887959
Train 121, loss: 0.845455, train acc: 0.977033, train avg acc: 0.965235
Test 121, loss: 0.945044, test acc: 0.918152, test avg acc: 0.886081
Train 122, loss: 0.845552, train acc: 0.976829, train avg acc: 0.966222
Test 122, loss: 0.947508, test acc: 0.916937, test avg acc: 0.886128
Train 123, loss: 0.851929, train acc: 0.973882, train avg acc: 0.960429
Test 123, loss: 0.941758, test acc: 0.919368, test avg acc: 0.888959
Train 124, loss: 0.845779, train acc: 0.977134, train avg acc: 0.964848
Test 124, loss: 0.940172, test acc: 0.916937, test avg acc: 0.885459
Train 125, loss: 0.847360, train acc: 0.976524, train avg acc: 0.963361
Test 125, loss: 0.941070, test acc: 0.914911, test avg acc: 0.879715
Train 126, loss: 0.848809, train acc: 0.975407, train avg acc: 0.963777
Test 126, loss: 0.945742, test acc: 0.917342, test avg acc: 0.885919
Train 127, loss: 0.844009, train acc: 0.977439, train avg acc: 0.967703
Test 127, loss: 0.939340, test acc: 0.914100, test avg acc: 0.882337
Train 128, loss: 0.848465, train acc: 0.976220, train avg acc: 0.964722
Test 128, loss: 0.951989, test acc: 0.915721, test avg acc: 0.883709
Train 129, loss: 0.847089, train acc: 0.977134, train avg acc: 0.965398
Test 129, loss: 0.944836, test acc: 0.916937, test avg acc: 0.886965
Train 130, loss: 0.845266, train acc: 0.978049, train avg acc: 0.967126
Test 130, loss: 0.947366, test acc: 0.913290, test avg acc: 0.879919
Train 131, loss: 0.846039, train acc: 0.977033, train avg acc: 0.965928
Test 131, loss: 0.945741, test acc: 0.913290, test avg acc: 0.885047
Train 132, loss: 0.849049, train acc: 0.974695, train avg acc: 0.964442
Test 132, loss: 0.938179, test acc: 0.914911, test avg acc: 0.882756
Train 133, loss: 0.845442, train acc: 0.977642, train avg acc: 0.966605
Test 133, loss: 0.947059, test acc: 0.916937, test avg acc: 0.882459
Train 134, loss: 0.846255, train acc: 0.976321, train avg acc: 0.965211
Test 134, loss: 0.945560, test acc: 0.913290, test avg acc: 0.882087
Train 135, loss: 0.850625, train acc: 0.975203, train avg acc: 0.964460
Test 135, loss: 0.947154, test acc: 0.914911, test avg acc: 0.882209
Train 136, loss: 0.850456, train acc: 0.972967, train avg acc: 0.960090
Test 136, loss: 0.951217, test acc: 0.912480, test avg acc: 0.879506
Train 137, loss: 0.850031, train acc: 0.972663, train avg acc: 0.959899
Test 137, loss: 0.942472, test acc: 0.914911, test avg acc: 0.879128
Train 138, loss: 0.848576, train acc: 0.975407, train avg acc: 0.962753
Test 138, loss: 0.945323, test acc: 0.916937, test avg acc: 0.885256
Train 139, loss: 0.846236, train acc: 0.975813, train avg acc: 0.963592
Test 139, loss: 0.942977, test acc: 0.919368, test avg acc: 0.889791
Train 140, loss: 0.847967, train acc: 0.976728, train avg acc: 0.964123
Test 140, loss: 0.944519, test acc: 0.916937, test avg acc: 0.885378
Train 141, loss: 0.846396, train acc: 0.977439, train avg acc: 0.966571
Test 141, loss: 0.944048, test acc: 0.910859, test avg acc: 0.873384
Train 142, loss: 0.846639, train acc: 0.976423, train avg acc: 0.964988
Test 142, loss: 0.951078, test acc: 0.911669, test avg acc: 0.877837
Train 143, loss: 0.843742, train acc: 0.978049, train avg acc: 0.967638
Test 143, loss: 0.947232, test acc: 0.914506, test avg acc: 0.878500
Train 144, loss: 0.845788, train acc: 0.976829, train avg acc: 0.963653
Test 144, loss: 0.944975, test acc: 0.918963, test avg acc: 0.885669
Train 145, loss: 0.846543, train acc: 0.975102, train avg acc: 0.962234
Test 145, loss: 0.943065, test acc: 0.917342, test avg acc: 0.882709
Train 146, loss: 0.847459, train acc: 0.976728, train avg acc: 0.964729
Test 146, loss: 0.945711, test acc: 0.916532, test avg acc: 0.883209
Train 147, loss: 0.845192, train acc: 0.977541, train avg acc: 0.966446
Test 147, loss: 0.947581, test acc: 0.918963, test avg acc: 0.886750
Train 148, loss: 0.844571, train acc: 0.976829, train avg acc: 0.963998
Test 148, loss: 0.944389, test acc: 0.916937, test avg acc: 0.883209
