Namespace(exp_name='new_lrgm', model='GTNet', dataset='modelnet40', batch_size=16, test_batch_size=8, epochs=250, use_sgd=True, lr=0.0001, momentum=0.9, scheduler='step', no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='', test_sampler='random_fixed')
Using GPU : 0 from 1 devices
Test 103, loss: 0.935253, test acc: 0.922609, test avg acc: 0.892157
Train 104, loss: 0.845058, train acc: 0.977439, train avg acc: 0.964353
Test 104, loss: 0.939016, test acc: 0.918152, test avg acc: 0.886453
Train 105, loss: 0.846780, train acc: 0.976016, train avg acc: 0.965105
Test 105, loss: 0.937727, test acc: 0.918963, test avg acc: 0.887831
Train 106, loss: 0.846693, train acc: 0.977744, train avg acc: 0.967542
Test 106, loss: 0.938959, test acc: 0.920989, test avg acc: 0.889041
Train 107, loss: 0.852379, train acc: 0.974898, train avg acc: 0.960855
Test 107, loss: 0.936562, test acc: 0.918152, test avg acc: 0.884959
Train 108, loss: 0.848591, train acc: 0.977033, train avg acc: 0.965708
Test 108, loss: 0.941003, test acc: 0.918558, test avg acc: 0.888291
Train 109, loss: 0.845977, train acc: 0.978354, train avg acc: 0.968138
Test 109, loss: 0.938404, test acc: 0.918963, test avg acc: 0.889953
Train 110, loss: 0.847060, train acc: 0.975813, train avg acc: 0.963461
Test 110, loss: 0.939759, test acc: 0.922204, test avg acc: 0.893750
Train 111, loss: 0.846045, train acc: 0.976524, train avg acc: 0.965389
Test 111, loss: 0.943833, test acc: 0.916126, test avg acc: 0.888122
Train 112, loss: 0.848930, train acc: 0.976728, train avg acc: 0.964672
Test 112, loss: 0.943757, test acc: 0.921799, test avg acc: 0.892907
Train 113, loss: 0.848568, train acc: 0.976016, train avg acc: 0.966233
Test 113, loss: 0.939950, test acc: 0.925041, test avg acc: 0.896622
Train 114, loss: 0.846111, train acc: 0.977439, train avg acc: 0.966470
Test 114, loss: 0.935574, test acc: 0.918558, test avg acc: 0.888703
Train 115, loss: 0.844827, train acc: 0.977439, train avg acc: 0.968598
