Namespace(exp_name='part_seg_globalts', model='GTNet', dataset='shapenetpart', class_choice=None, batch_size=13, test_batch_size=13, epochs=300, use_sgd=True, lr=0.001, momentum=0.9, scheduler='cos', no_cuda=False, seed=100, eval=False, num_points=2048, dropout=0.5, emb_dims=512, k=20, ptv3_patch=256, ptv3_heads=4, ptv3_morton_bits=10, no_ptv3_shift=False, model_path='', visu='all', visu_format='ply')
Using GPU : 0 from 1 devices
Train 118, loss: 0.871045, train acc: 0.942256, train avg acc: 0.810164, train iou: 0.838295
Test 118, loss: 0.881627, test acc: 0.932394, test avg acc: 0.810070, test iou: 0.829401
Train 119, loss: 0.869891, train acc: 0.942689, train avg acc: 0.811900, train iou: 0.837436
Test 119, loss: 0.878802, test acc: 0.934771, test avg acc: 0.815818, test iou: 0.833919
Train 120, loss: 0.872079, train acc: 0.941934, train avg acc: 0.808858, train iou: 0.837014
Test 120, loss: 0.888272, test acc: 0.930742, test avg acc: 0.813410, test iou: 0.826150
Train 121, loss: 0.871627, train acc: 0.941976, train avg acc: 0.810056, train iou: 0.836872
Test 121, loss: 0.876002, test acc: 0.934899, test avg acc: 0.808576, test iou: 0.831755
Train 122, loss: 0.873136, train acc: 0.941593, train avg acc: 0.806478, train iou: 0.835861
Test 122, loss: 0.882759, test acc: 0.931714, test avg acc: 0.813282, test iou: 0.826350
Train 123, loss: 0.870949, train acc: 0.942139, train avg acc: 0.808495, train iou: 0.838066
Test 123, loss: 0.873615, test acc: 0.935964, test avg acc: 0.802712, test iou: 0.835126
Train 124, loss: 0.869921, train acc: 0.942280, train avg acc: 0.810602, train iou: 0.837255
Test 124, loss: 0.888045, test acc: 0.932306, test avg acc: 0.826385, test iou: 0.831606
Train 125, loss: 0.872549, train acc: 0.941477, train avg acc: 0.809693, train iou: 0.836969
Test 125, loss: 0.878349, test acc: 0.934373, test avg acc: 0.793607, test iou: 0.829052
Train 126, loss: 0.869142, train acc: 0.942987, train avg acc: 0.810821, train iou: 0.838206
Test 126, loss: 0.874336, test acc: 0.935354, test avg acc: 0.819506, test iou: 0.834168
Train 127, loss: 0.870342, train acc: 0.942362, train avg acc: 0.807261, train iou: 0.837217
Test 127, loss: 0.909238, test acc: 0.923749, test avg acc: 0.822028, test iou: 0.818942
Train 128, loss: 0.869902, train acc: 0.942573, train avg acc: 0.811487, train iou: 0.837765
Test 128, loss: 0.879919, test acc: 0.936063, test avg acc: 0.800499, test iou: 0.835304
Train 129, loss: 0.868127, train acc: 0.943599, train avg acc: 0.817898, train iou: 0.839209
Test 129, loss: 0.884345, test acc: 0.933918, test avg acc: 0.817977, test iou: 0.829334
Train 130, loss: 0.871487, train acc: 0.941910, train avg acc: 0.806975, train iou: 0.836720
Test 130, loss: 0.883159, test acc: 0.932502, test avg acc: 0.805424, test iou: 0.831668
Train 131, loss: 0.868916, train acc: 0.943297, train avg acc: 0.812500, train iou: 0.838671
Test 131, loss: 0.873432, test acc: 0.938029, test avg acc: 0.834970, test iou: 0.839125
Train 132, loss: 0.868650, train acc: 0.943289, train avg acc: 0.813524, train iou: 0.839985
Test 132, loss: 0.877375, test acc: 0.935191, test avg acc: 0.815035, test iou: 0.836998
Train 133, loss: 0.866575, train acc: 0.943884, train avg acc: 0.815302, train iou: 0.840374
Test 133, loss: 0.874068, test acc: 0.935299, test avg acc: 0.824053, test iou: 0.835243
Train 134, loss: 0.866722, train acc: 0.943581, train avg acc: 0.814991, train iou: 0.839824
Test 134, loss: 0.896968, test acc: 0.927739, test avg acc: 0.805262, test iou: 0.820798
Train 135, loss: 0.866214, train acc: 0.944058, train avg acc: 0.817034, train iou: 0.840735
Test 135, loss: 0.903497, test acc: 0.920322, test avg acc: 0.804567, test iou: 0.827322
Train 136, loss: 0.865729, train acc: 0.943939, train avg acc: 0.816992, train iou: 0.840026
Test 136, loss: 0.889600, test acc: 0.929746, test avg acc: 0.798311, test iou: 0.819510
Train 137, loss: 0.865782, train acc: 0.943962, train avg acc: 0.818402, train iou: 0.839767
Test 137, loss: 0.882819, test acc: 0.934322, test avg acc: 0.806715, test iou: 0.827600
Train 138, loss: 0.864776, train acc: 0.944455, train avg acc: 0.818793, train iou: 0.840480
Test 138, loss: 0.868754, test acc: 0.938410, test avg acc: 0.828687, test iou: 0.836380
Train 139, loss: 0.866951, train acc: 0.943623, train avg acc: 0.814172, train iou: 0.840037
Test 139, loss: 0.884280, test acc: 0.931623, test avg acc: 0.832579, test iou: 0.823593
Train 140, loss: 0.864323, train acc: 0.944662, train avg acc: 0.822007, train iou: 0.842216
Test 140, loss: 0.874730, test acc: 0.936919, test avg acc: 0.831154, test iou: 0.840860
