Namespace(exp_name='LIDKNN_attnpoolk_best', model='GTNet', dataset='modelnet40', batch_size=16, test_batch_size=16, epochs=300, use_sgd=True, lr=0.01, momentum=0.9, scheduler='step', no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='', test_sampler='random_fixed')
Using GPU : 0 from 1 devices
Test 111, loss: 0.930633, test acc: 0.919368, test avg acc: 0.887041
Train 112, loss: 0.868825, train acc: 0.970020, train avg acc: 0.955114
Test 112, loss: 0.930550, test acc: 0.920989, test avg acc: 0.889081
Train 113, loss: 0.869816, train acc: 0.969512, train avg acc: 0.952772
Test 113, loss: 0.929153, test acc: 0.922609, test avg acc: 0.888535
Train 114, loss: 0.871525, train acc: 0.968293, train avg acc: 0.950895
Test 114, loss: 0.928609, test acc: 0.920989, test avg acc: 0.889535
Train 115, loss: 0.873890, train acc: 0.966463, train avg acc: 0.948558
Test 115, loss: 0.929065, test acc: 0.919368, test avg acc: 0.884041
Train 116, loss: 0.870071, train acc: 0.970630, train avg acc: 0.955902
Test 116, loss: 0.935051, test acc: 0.920989, test avg acc: 0.888285
Train 117, loss: 0.873955, train acc: 0.967988, train avg acc: 0.951973
Test 117, loss: 0.932550, test acc: 0.924635, test avg acc: 0.894698
Train 118, loss: 0.871096, train acc: 0.968496, train avg acc: 0.950748
Test 118, loss: 0.930877, test acc: 0.918963, test avg acc: 0.886041
Train 119, loss: 0.870100, train acc: 0.968801, train avg acc: 0.954067
Test 119, loss: 0.930770, test acc: 0.922204, test avg acc: 0.886994
Train 120, loss: 0.870867, train acc: 0.970020, train avg acc: 0.955538
Test 120, loss: 0.929354, test acc: 0.921394, test avg acc: 0.886622
Train 121, loss: 0.869452, train acc: 0.970325, train avg acc: 0.957321
Test 121, loss: 0.929290, test acc: 0.922204, test avg acc: 0.888203
Train 122, loss: 0.869367, train acc: 0.968699, train avg acc: 0.954347
Test 122, loss: 0.928414, test acc: 0.922204, test avg acc: 0.889913
Train 123, loss: 0.866427, train acc: 0.970224, train avg acc: 0.953396
Test 123, loss: 0.925457, test acc: 0.923825, test avg acc: 0.892203
Train 124, loss: 0.869980, train acc: 0.967378, train avg acc: 0.951072
Test 124, loss: 0.928434, test acc: 0.922609, test avg acc: 0.889453
Train 125, loss: 0.868620, train acc: 0.969004, train avg acc: 0.954912
Test 125, loss: 0.931588, test acc: 0.920583, test avg acc: 0.888163
Train 126, loss: 0.870104, train acc: 0.969411, train avg acc: 0.955183
Test 126, loss: 0.934987, test acc: 0.922204, test avg acc: 0.887913
Train 127, loss: 0.870497, train acc: 0.969512, train avg acc: 0.954331
Test 127, loss: 0.930608, test acc: 0.924635, test avg acc: 0.896500
Train 128, loss: 0.865544, train acc: 0.969817, train avg acc: 0.953514
Test 128, loss: 0.932361, test acc: 0.919773, test avg acc: 0.887250
Train 129, loss: 0.866741, train acc: 0.970224, train avg acc: 0.955462
Test 129, loss: 0.930097, test acc: 0.923015, test avg acc: 0.891622
Train 130, loss: 0.870127, train acc: 0.969512, train avg acc: 0.956847
Test 130, loss: 0.930362, test acc: 0.923420, test avg acc: 0.887872
Train 131, loss: 0.867957, train acc: 0.968902, train avg acc: 0.954067
Test 131, loss: 0.933738, test acc: 0.923015, test avg acc: 0.894703
Train 132, loss: 0.867634, train acc: 0.970935, train avg acc: 0.955487
Test 132, loss: 0.932531, test acc: 0.922609, test avg acc: 0.887494
Train 133, loss: 0.871150, train acc: 0.968089, train avg acc: 0.949102
Test 133, loss: 0.933463, test acc: 0.923420, test avg acc: 0.894035
Train 134, loss: 0.870664, train acc: 0.968598, train avg acc: 0.954363
Test 134, loss: 0.929329, test acc: 0.922609, test avg acc: 0.891041
Train 135, loss: 0.867109, train acc: 0.969919, train avg acc: 0.955055
Test 135, loss: 0.930232, test acc: 0.927066, test avg acc: 0.896326
Train 136, loss: 0.868423, train acc: 0.969106, train avg acc: 0.954844
Test 136, loss: 0.931619, test acc: 0.925851, test avg acc: 0.894535
Train 137, loss: 0.866453, train acc: 0.970122, train avg acc: 0.956304
Test 137, loss: 0.928840, test acc: 0.925041, test avg acc: 0.893785
Train 138, loss: 0.870113, train acc: 0.969207, train avg acc: 0.954012
Test 138, loss: 0.927746, test acc: 0.925446, test avg acc: 0.895122
Train 139, loss: 0.869564, train acc: 0.969207, train avg acc: 0.955027
Test 139, loss: 0.930312, test acc: 0.923420, test avg acc: 0.890663
Train 140, loss: 0.867328, train acc: 0.970630, train avg acc: 0.954764
Test 140, loss: 0.928408, test acc: 0.923015, test avg acc: 0.889541
Train 141, loss: 0.864840, train acc: 0.969309, train avg acc: 0.955349
Test 141, loss: 0.929665, test acc: 0.922204, test avg acc: 0.889203
Train 142, loss: 0.868214, train acc: 0.967480, train avg acc: 0.950287
Test 142, loss: 0.927298, test acc: 0.925851, test avg acc: 0.890535
Train 143, loss: 0.865837, train acc: 0.969309, train avg acc: 0.952796
Test 143, loss: 0.930429, test acc: 0.920583, test avg acc: 0.889041
Train 144, loss: 0.866410, train acc: 0.970732, train avg acc: 0.955373
Test 144, loss: 0.927167, test acc: 0.921394, test avg acc: 0.888622
Train 145, loss: 0.864949, train acc: 0.970732, train avg acc: 0.955748
Test 145, loss: 0.930222, test acc: 0.923015, test avg acc: 0.890413
Train 146, loss: 0.867186, train acc: 0.969817, train avg acc: 0.953691
Test 146, loss: 0.930131, test acc: 0.918963, test avg acc: 0.886791
Train 147, loss: 0.864444, train acc: 0.969919, train avg acc: 0.955084
Test 147, loss: 0.926065, test acc: 0.922609, test avg acc: 0.889000
Train 148, loss: 0.864589, train acc: 0.970427, train avg acc: 0.956415
Test 148, loss: 0.925667, test acc: 0.925446, test avg acc: 0.893913
Train 149, loss: 0.864423, train acc: 0.972154, train avg acc: 0.957536
Test 149, loss: 0.926980, test acc: 0.924230, test avg acc: 0.895122
Train 150, loss: 0.864436, train acc: 0.972053, train avg acc: 0.959068
Test 150, loss: 0.928433, test acc: 0.922609, test avg acc: 0.889250
Train 151, loss: 0.864870, train acc: 0.970528, train avg acc: 0.955761
Test 151, loss: 0.931302, test acc: 0.921799, test avg acc: 0.890541
Train 152, loss: 0.863305, train acc: 0.970732, train avg acc: 0.955272
Test 152, loss: 0.930606, test acc: 0.923420, test avg acc: 0.894703
Train 153, loss: 0.867409, train acc: 0.970528, train avg acc: 0.956711
Test 153, loss: 0.930456, test acc: 0.923825, test avg acc: 0.893872
Train 154, loss: 0.865427, train acc: 0.972561, train avg acc: 0.957790
Test 154, loss: 0.929864, test acc: 0.926256, test avg acc: 0.893703
Train 155, loss: 0.864062, train acc: 0.971545, train avg acc: 0.958829
Test 155, loss: 0.928408, test acc: 0.923825, test avg acc: 0.887913
Train 156, loss: 0.865886, train acc: 0.969411, train avg acc: 0.955063
Test 156, loss: 0.933191, test acc: 0.922609, test avg acc: 0.892122
Train 157, loss: 0.867606, train acc: 0.968191, train avg acc: 0.951855
Test 157, loss: 0.928590, test acc: 0.922609, test avg acc: 0.889331
Train 158, loss: 0.868421, train acc: 0.967785, train avg acc: 0.953092
Test 158, loss: 0.929977, test acc: 0.924230, test avg acc: 0.894081
Train 159, loss: 0.866790, train acc: 0.970020, train avg acc: 0.955803
Test 159, loss: 0.928903, test acc: 0.923015, test avg acc: 0.891209
Train 160, loss: 0.867381, train acc: 0.970325, train avg acc: 0.957165
Test 160, loss: 0.928929, test acc: 0.921394, test avg acc: 0.887331
Train 161, loss: 0.866447, train acc: 0.970325, train avg acc: 0.955153
Test 161, loss: 0.929727, test acc: 0.917747, test avg acc: 0.886081
Train 162, loss: 0.863519, train acc: 0.972256, train avg acc: 0.957404
Test 162, loss: 0.927517, test acc: 0.927877, test avg acc: 0.898535
Train 163, loss: 0.864880, train acc: 0.970528, train avg acc: 0.956030
Test 163, loss: 0.930466, test acc: 0.923420, test avg acc: 0.891622
Train 164, loss: 0.864219, train acc: 0.970020, train avg acc: 0.955535
Test 164, loss: 0.930775, test acc: 0.923015, test avg acc: 0.888372
Train 165, loss: 0.868595, train acc: 0.969411, train avg acc: 0.955425
Test 165, loss: 0.934737, test acc: 0.924230, test avg acc: 0.887535
Train 166, loss: 0.865602, train acc: 0.970935, train avg acc: 0.956519
Test 166, loss: 0.927501, test acc: 0.920989, test avg acc: 0.887081
Train 167, loss: 0.863970, train acc: 0.972866, train avg acc: 0.957713
Test 167, loss: 0.930987, test acc: 0.920583, test avg acc: 0.889872
Train 168, loss: 0.865778, train acc: 0.969207, train avg acc: 0.953414
Test 168, loss: 0.930302, test acc: 0.922609, test avg acc: 0.893413
Train 169, loss: 0.867219, train acc: 0.968089, train avg acc: 0.953174
Test 169, loss: 0.929042, test acc: 0.923420, test avg acc: 0.887581
Train 170, loss: 0.870437, train acc: 0.969817, train avg acc: 0.955638
Test 170, loss: 0.931424, test acc: 0.923420, test avg acc: 0.893581
Train 171, loss: 0.867582, train acc: 0.970935, train avg acc: 0.954836
Test 171, loss: 0.924891, test acc: 0.922609, test avg acc: 0.889413
Train 172, loss: 0.865758, train acc: 0.969715, train avg acc: 0.953303
Test 172, loss: 0.932184, test acc: 0.923825, test avg acc: 0.889163
Train 173, loss: 0.867244, train acc: 0.969004, train avg acc: 0.953005
Test 173, loss: 0.929632, test acc: 0.920178, test avg acc: 0.887500
Train 174, loss: 0.867013, train acc: 0.970935, train avg acc: 0.957599
Test 174, loss: 0.929097, test acc: 0.923420, test avg acc: 0.893500
Train 175, loss: 0.865685, train acc: 0.971748, train avg acc: 0.958102
Test 175, loss: 0.931082, test acc: 0.925446, test avg acc: 0.892872
Train 176, loss: 0.864991, train acc: 0.970833, train avg acc: 0.953659
Test 176, loss: 0.931577, test acc: 0.920989, test avg acc: 0.889000
Train 177, loss: 0.871887, train acc: 0.968496, train avg acc: 0.954267
Test 177, loss: 0.927987, test acc: 0.924230, test avg acc: 0.894041
Train 178, loss: 0.866764, train acc: 0.969004, train avg acc: 0.952567
Test 178, loss: 0.928278, test acc: 0.923015, test avg acc: 0.887866
Train 179, loss: 0.866175, train acc: 0.971545, train avg acc: 0.958334
Test 179, loss: 0.930001, test acc: 0.923015, test avg acc: 0.892500
Train 180, loss: 0.867777, train acc: 0.969817, train avg acc: 0.956389
Test 180, loss: 0.933051, test acc: 0.920989, test avg acc: 0.888081
Train 181, loss: 0.865089, train acc: 0.970020, train avg acc: 0.954207
Test 181, loss: 0.927836, test acc: 0.923420, test avg acc: 0.891744
Train 182, loss: 0.866118, train acc: 0.970630, train avg acc: 0.956014
Test 182, loss: 0.929649, test acc: 0.923015, test avg acc: 0.888581
