Namespace(exp_name='PRWKV-IFM_LRGM', model='GTNet', dataset='shapenetpart', class_choice=None, batch_size=16, test_batch_size=16, epochs=300, use_sgd=True, lr=0.001, momentum=0.9, scheduler='cos', no_cuda=False, seed=100, eval=False, num_points=2048, dropout=0.5, emb_dims=512, k=20, model_path='', visu='all', visu_format='ply')
Using GPU : 0 from 1 devices
Train 91, loss: 0.864090, train acc: 0.944626, train avg acc: 0.821987, train iou: 0.845015
Test 91, loss: 0.868842, test acc: 0.937811, test avg acc: 0.835699, test iou: 0.837370
Train 92, loss: 0.860062, train acc: 0.946041, train avg acc: 0.827553, train iou: 0.847240
Test 92, loss: 0.885045, test acc: 0.933026, test avg acc: 0.816388, test iou: 0.833850
Train 93, loss: 0.861342, train acc: 0.945443, train avg acc: 0.821822, train iou: 0.845889
Test 93, loss: 0.882721, test acc: 0.932989, test avg acc: 0.815933, test iou: 0.826830
Train 94, loss: 0.862936, train acc: 0.944798, train avg acc: 0.819714, train iou: 0.845183
Test 94, loss: 0.877004, test acc: 0.935715, test avg acc: 0.828087, test iou: 0.837500
Train 95, loss: 0.860511, train acc: 0.945480, train avg acc: 0.822400, train iou: 0.846201
Test 95, loss: 0.877009, test acc: 0.933913, test avg acc: 0.825677, test iou: 0.831816
Train 96, loss: 0.859970, train acc: 0.946142, train avg acc: 0.826206, train iou: 0.846980
Test 96, loss: 0.870364, test acc: 0.937695, test avg acc: 0.824669, test iou: 0.839468
Train 97, loss: 0.863099, train acc: 0.944481, train avg acc: 0.820762, train iou: 0.844659
Test 97, loss: 0.869544, test acc: 0.937060, test avg acc: 0.826997, test iou: 0.837510
Train 98, loss: 0.858638, train acc: 0.946572, train avg acc: 0.829756, train iou: 0.848027
Test 98, loss: 0.876584, test acc: 0.935095, test avg acc: 0.823638, test iou: 0.833413
Train 99, loss: 0.861049, train acc: 0.945733, train avg acc: 0.823538, train iou: 0.846970
Test 99, loss: 0.876660, test acc: 0.935453, test avg acc: 0.824094, test iou: 0.836389
Train 100, loss: 0.860972, train acc: 0.945604, train avg acc: 0.822681, train iou: 0.846720
Test 100, loss: 0.889199, test acc: 0.932942, test avg acc: 0.804655, test iou: 0.829358
Train 101, loss: 0.858495, train acc: 0.946538, train avg acc: 0.827832, train iou: 0.847568
Test 101, loss: 0.868451, test acc: 0.937638, test avg acc: 0.834546, test iou: 0.841987
Train 102, loss: 0.857458, train acc: 0.946632, train avg acc: 0.828400, train iou: 0.848287
Test 102, loss: 0.872460, test acc: 0.936938, test avg acc: 0.839768, test iou: 0.840905
Train 103, loss: 0.859513, train acc: 0.945946, train avg acc: 0.827624, train iou: 0.847285
Test 103, loss: 0.896477, test acc: 0.929536, test avg acc: 0.835027, test iou: 0.834661
Train 104, loss: 0.857548, train acc: 0.946909, train avg acc: 0.829962, train iou: 0.848330
Test 104, loss: 0.879878, test acc: 0.934711, test avg acc: 0.816084, test iou: 0.836284
Train 105, loss: 0.858396, train acc: 0.946651, train avg acc: 0.827045, train iou: 0.848916
Test 105, loss: 0.894689, test acc: 0.926596, test avg acc: 0.817514, test iou: 0.825638
Train 106, loss: 0.857645, train acc: 0.946975, train avg acc: 0.830645, train iou: 0.848491
Test 106, loss: 0.882068, test acc: 0.935253, test avg acc: 0.816368, test iou: 0.833796
Train 107, loss: 0.859541, train acc: 0.946083, train avg acc: 0.827142, train iou: 0.847581
Test 107, loss: 0.904478, test acc: 0.928988, test avg acc: 0.817853, test iou: 0.823457
Train 108, loss: 0.861209, train acc: 0.945371, train avg acc: 0.825020, train iou: 0.846728
Test 108, loss: 0.880563, test acc: 0.935070, test avg acc: 0.828125, test iou: 0.834285
Train 109, loss: 0.857311, train acc: 0.946790, train avg acc: 0.828471, train iou: 0.848929
Test 109, loss: 0.871000, test acc: 0.937183, test avg acc: 0.832894, test iou: 0.837471
Train 110, loss: 0.857195, train acc: 0.946823, train avg acc: 0.831540, train iou: 0.848281
Test 110, loss: 0.874407, test acc: 0.937121, test avg acc: 0.812298, test iou: 0.839185
Train 111, loss: 0.859246, train acc: 0.945876, train avg acc: 0.821142, train iou: 0.847374
Test 111, loss: 0.888325, test acc: 0.929297, test avg acc: 0.819291, test iou: 0.823250
Train 112, loss: 0.855259, train acc: 0.947630, train avg acc: 0.833118, train iou: 0.849930
Test 112, loss: 0.875310, test acc: 0.936396, test avg acc: 0.827662, test iou: 0.838577
Train 113, loss: 0.854571, train acc: 0.947636, train avg acc: 0.833810, train iou: 0.850653
Test 113, loss: 0.874800, test acc: 0.935908, test avg acc: 0.834720, test iou: 0.839966
Train 114, loss: 0.855264, train acc: 0.947216, train avg acc: 0.831588, train iou: 0.849488
Test 114, loss: 0.880502, test acc: 0.934042, test avg acc: 0.836747, test iou: 0.831491
Train 115, loss: 0.857079, train acc: 0.946689, train avg acc: 0.827548, train iou: 0.848448
Test 115, loss: 0.887726, test acc: 0.932862, test avg acc: 0.838440, test iou: 0.831750
Train 116, loss: 0.855020, train acc: 0.947628, train avg acc: 0.833608, train iou: 0.849602
Test 116, loss: 0.871640, test acc: 0.936982, test avg acc: 0.833834, test iou: 0.839681
Train 117, loss: 0.854568, train acc: 0.947741, train avg acc: 0.832699, train iou: 0.849999
Test 117, loss: 0.874277, test acc: 0.936445, test avg acc: 0.818301, test iou: 0.834212
Train 118, loss: 0.854062, train acc: 0.948023, train avg acc: 0.832532, train iou: 0.850780
Test 118, loss: 0.879141, test acc: 0.935470, test avg acc: 0.821752, test iou: 0.834325
Train 119, loss: 0.853694, train acc: 0.948032, train avg acc: 0.834273, train iou: 0.850865
Test 119, loss: 0.875012, test acc: 0.935955, test avg acc: 0.826905, test iou: 0.839364
Train 120, loss: 0.854358, train acc: 0.948002, train avg acc: 0.833017, train iou: 0.849824
Test 120, loss: 0.881707, test acc: 0.933249, test avg acc: 0.806123, test iou: 0.831170
Train 121, loss: 0.857131, train acc: 0.946424, train avg acc: 0.826268, train iou: 0.847967
Test 121, loss: 0.888952, test acc: 0.931945, test avg acc: 0.835474, test iou: 0.834272
Train 122, loss: 0.856295, train acc: 0.946865, train avg acc: 0.828246, train iou: 0.849083
Test 122, loss: 0.885831, test acc: 0.931063, test avg acc: 0.829443, test iou: 0.833274
Train 123, loss: 0.854283, train acc: 0.947810, train avg acc: 0.830834, train iou: 0.850531
Test 123, loss: 0.887822, test acc: 0.931352, test avg acc: 0.834351, test iou: 0.829582
Train 124, loss: 0.850033, train acc: 0.949274, train avg acc: 0.834761, train iou: 0.852496
Test 124, loss: 0.866722, test acc: 0.939580, test avg acc: 0.850354, test iou: 0.841711
Train 125, loss: 0.850385, train acc: 0.949064, train avg acc: 0.838230, train iou: 0.853618
Test 125, loss: 0.875563, test acc: 0.935458, test avg acc: 0.815628, test iou: 0.834881
Train 126, loss: 0.854805, train acc: 0.947502, train avg acc: 0.830931, train iou: 0.849336
Test 126, loss: 0.871682, test acc: 0.936002, test avg acc: 0.828927, test iou: 0.838800
Train 127, loss: 0.854060, train acc: 0.948074, train avg acc: 0.835776, train iou: 0.851512
Test 127, loss: 0.894538, test acc: 0.930080, test avg acc: 0.821344, test iou: 0.830985
Train 128, loss: 0.851554, train acc: 0.948967, train avg acc: 0.835348, train iou: 0.852375
Test 128, loss: 0.866490, test acc: 0.938473, test avg acc: 0.831038, test iou: 0.840074
Train 129, loss: 0.851589, train acc: 0.948761, train avg acc: 0.839059, train iou: 0.852612
Test 129, loss: 0.873564, test acc: 0.937698, test avg acc: 0.833485, test iou: 0.837283
Train 130, loss: 0.850385, train acc: 0.949476, train avg acc: 0.838037, train iou: 0.853455
Test 130, loss: 0.906929, test acc: 0.920720, test avg acc: 0.810711, test iou: 0.816848
Train 131, loss: 0.852293, train acc: 0.948758, train avg acc: 0.835978, train iou: 0.851831
Test 131, loss: 0.873619, test acc: 0.935045, test avg acc: 0.819150, test iou: 0.833103
Train 132, loss: 0.850883, train acc: 0.948891, train avg acc: 0.836687, train iou: 0.852412
Test 132, loss: 0.905713, test acc: 0.924480, test avg acc: 0.822618, test iou: 0.806501
Train 133, loss: 0.849004, train acc: 0.949813, train avg acc: 0.838740, train iou: 0.854634
Test 133, loss: 0.878339, test acc: 0.936199, test avg acc: 0.828962, test iou: 0.837101
