Namespace(exp_name='LPR++', model='GTNet', dataset='modelnet40', batch_size=16, test_batch_size=16, epochs=300, use_sgd=True, lr=0.01, momentum=0.9, scheduler='step', no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='', test_sampler='random_fixed')
Using GPU : 0 from 1 devices
Train 84, loss: 0.887251, train acc: 0.961890, train avg acc: 0.941199
Test 84, loss: 0.940430, test acc: 0.920989, test avg acc: 0.889959
Train 85, loss: 0.882268, train acc: 0.962500, train avg acc: 0.944358
Test 85, loss: 0.942262, test acc: 0.919773, test avg acc: 0.890331
Train 86, loss: 0.883043, train acc: 0.963516, train avg acc: 0.947069
Test 86, loss: 0.941033, test acc: 0.921799, test avg acc: 0.886500
Train 87, loss: 0.882146, train acc: 0.963821, train avg acc: 0.946710
Test 87, loss: 0.941007, test acc: 0.923825, test avg acc: 0.893041
Train 88, loss: 0.884949, train acc: 0.963720, train avg acc: 0.946790
Test 88, loss: 0.941120, test acc: 0.922204, test avg acc: 0.890244
Train 89, loss: 0.885208, train acc: 0.961890, train avg acc: 0.942886
Test 89, loss: 0.935409, test acc: 0.925851, test avg acc: 0.896413
Train 90, loss: 0.882969, train acc: 0.962703, train avg acc: 0.944895
Test 90, loss: 0.937936, test acc: 0.923420, test avg acc: 0.885913
Train 91, loss: 0.880142, train acc: 0.965346, train avg acc: 0.948189
Test 91, loss: 0.940953, test acc: 0.921799, test avg acc: 0.887831
Train 92, loss: 0.880256, train acc: 0.965854, train avg acc: 0.950540
Test 92, loss: 0.939365, test acc: 0.921394, test avg acc: 0.892372
Train 93, loss: 0.877837, train acc: 0.965447, train avg acc: 0.948914
Test 93, loss: 0.940854, test acc: 0.926256, test avg acc: 0.894744
Train 94, loss: 0.879222, train acc: 0.966260, train avg acc: 0.948846
Test 94, loss: 0.938010, test acc: 0.923825, test avg acc: 0.893122
Train 95, loss: 0.876706, train acc: 0.966159, train avg acc: 0.949206
Test 95, loss: 0.938550, test acc: 0.923825, test avg acc: 0.892081
Train 96, loss: 0.875678, train acc: 0.966565, train avg acc: 0.950128
Test 96, loss: 0.936190, test acc: 0.925851, test avg acc: 0.892326
Train 97, loss: 0.876205, train acc: 0.965650, train avg acc: 0.948765
Test 97, loss: 0.938483, test acc: 0.922609, test avg acc: 0.890000
Train 98, loss: 0.878893, train acc: 0.965549, train avg acc: 0.948171
Test 98, loss: 0.942032, test acc: 0.917747, test avg acc: 0.888169
Train 99, loss: 0.872693, train acc: 0.968801, train avg acc: 0.955018
Test 99, loss: 0.936901, test acc: 0.928282, test avg acc: 0.898541
Train 100, loss: 0.878001, train acc: 0.964939, train avg acc: 0.947260
Test 100, loss: 0.941171, test acc: 0.921394, test avg acc: 0.889250
Train 101, loss: 0.877572, train acc: 0.964533, train avg acc: 0.948534
Test 101, loss: 0.936006, test acc: 0.920989, test avg acc: 0.886622
Train 102, loss: 0.872626, train acc: 0.969004, train avg acc: 0.953788
Test 102, loss: 0.940164, test acc: 0.923825, test avg acc: 0.889994
Train 103, loss: 0.876161, train acc: 0.965955, train avg acc: 0.948738
Test 103, loss: 0.939632, test acc: 0.920583, test avg acc: 0.885122
Train 104, loss: 0.874295, train acc: 0.966768, train avg acc: 0.948716
Test 104, loss: 0.939521, test acc: 0.921799, test avg acc: 0.886703
Train 105, loss: 0.876508, train acc: 0.965346, train avg acc: 0.949279
Test 105, loss: 0.933616, test acc: 0.923825, test avg acc: 0.887750
Train 106, loss: 0.874807, train acc: 0.967683, train avg acc: 0.951148
Test 106, loss: 0.936170, test acc: 0.924230, test avg acc: 0.886413
Train 107, loss: 0.873042, train acc: 0.969106, train avg acc: 0.955562
Test 107, loss: 0.938242, test acc: 0.923420, test avg acc: 0.888872
Train 108, loss: 0.876867, train acc: 0.967378, train avg acc: 0.953633
Test 108, loss: 0.939923, test acc: 0.923825, test avg acc: 0.888081
Train 109, loss: 0.872850, train acc: 0.968801, train avg acc: 0.953654
Test 109, loss: 0.937687, test acc: 0.920989, test avg acc: 0.889128
Train 110, loss: 0.873332, train acc: 0.966159, train avg acc: 0.950571
Test 110, loss: 0.934456, test acc: 0.923015, test avg acc: 0.890459
