Namespace(exp_name='exp', model='GTNet', dataset='modelnet40', batch_size=4, test_batch_size=8, epochs=250, use_sgd=True, lr=1e-05, momentum=0.9, scheduler='cos', no_cuda=False, seed=1, eval=False, num_points=2048, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using GPU : 0 from 1 devices
Train 136, loss: 1.539169, train acc: 0.934045, train avg acc: 0.902973
Test 136, loss: 1.510114, test acc: 0.913290, test avg acc: 0.867994
Train 137, loss: 1.539213, train acc: 0.934146, train avg acc: 0.905421
Test 137, loss: 1.504804, test acc: 0.920178, test avg acc: 0.882744
Train 138, loss: 1.534602, train acc: 0.936382, train avg acc: 0.909236
Test 138, loss: 1.535643, test acc: 0.913290, test avg acc: 0.878616
Train 139, loss: 1.535519, train acc: 0.934146, train avg acc: 0.902458
Test 139, loss: 1.537221, test acc: 0.914911, test avg acc: 0.876081
Train 140, loss: 1.529065, train acc: 0.938008, train avg acc: 0.909001
Test 140, loss: 1.527060, test acc: 0.918152, test avg acc: 0.878372
Train 141, loss: 1.532893, train acc: 0.940447, train avg acc: 0.914858
Test 141, loss: 1.522202, test acc: 0.920989, test avg acc: 0.878994
Train 142, loss: 1.538646, train acc: 0.932419, train avg acc: 0.898496
Test 142, loss: 1.510620, test acc: 0.918152, test avg acc: 0.876453
Train 143, loss: 1.532803, train acc: 0.938516, train avg acc: 0.911091
Test 143, loss: 1.518133, test acc: 0.914506, test avg acc: 0.881872
Train 144, loss: 1.532402, train acc: 0.936992, train avg acc: 0.908221
Test 144, loss: 1.525799, test acc: 0.912480, test avg acc: 0.880419
Train 145, loss: 1.541051, train acc: 0.931199, train avg acc: 0.898528
Test 145, loss: 1.514369, test acc: 0.918558, test avg acc: 0.882238
Train 146, loss: 1.535243, train acc: 0.937602, train avg acc: 0.906364
Test 146, loss: 1.508571, test acc: 0.915721, test avg acc: 0.886366
Train 147, loss: 1.534087, train acc: 0.936077, train avg acc: 0.908656
Test 147, loss: 1.508247, test acc: 0.918558, test avg acc: 0.879372
Train 148, loss: 1.534516, train acc: 0.933232, train avg acc: 0.906406
Test 148, loss: 1.547841, test acc: 0.900729, test avg acc: 0.871052
Train 149, loss: 1.538821, train acc: 0.937093, train avg acc: 0.910893
Test 149, loss: 1.519797, test acc: 0.916126, test avg acc: 0.870198
Train 150, loss: 1.521823, train acc: 0.943394, train avg acc: 0.916800
Test 150, loss: 1.527499, test acc: 0.912885, test avg acc: 0.866872
Train 151, loss: 1.527250, train acc: 0.937907, train avg acc: 0.908760
Test 151, loss: 1.510591, test acc: 0.907212, test avg acc: 0.865052
Train 152, loss: 1.530838, train acc: 0.936890, train avg acc: 0.906281
Test 152, loss: 1.505588, test acc: 0.917342, test avg acc: 0.876663
Train 153, loss: 1.523858, train acc: 0.942581, train avg acc: 0.918296
Test 153, loss: 1.518736, test acc: 0.918963, test avg acc: 0.881622
Train 154, loss: 1.519660, train acc: 0.941870, train avg acc: 0.914607
Test 154, loss: 1.510072, test acc: 0.913290, test avg acc: 0.873331
Train 155, loss: 1.537727, train acc: 0.934553, train avg acc: 0.906542
Test 155, loss: 1.517376, test acc: 0.913290, test avg acc: 0.873128
Train 156, loss: 1.526755, train acc: 0.941260, train avg acc: 0.912874
Test 156, loss: 1.513315, test acc: 0.910454, test avg acc: 0.873535
Train 157, loss: 1.523618, train acc: 0.942683, train avg acc: 0.914666
Test 157, loss: 1.517089, test acc: 0.912075, test avg acc: 0.877331
Train 158, loss: 1.533667, train acc: 0.942988, train avg acc: 0.919981
Test 158, loss: 1.512719, test acc: 0.918963, test avg acc: 0.877453
Train 159, loss: 1.528759, train acc: 0.942073, train avg acc: 0.915123
Test 159, loss: 1.522607, test acc: 0.909643, test avg acc: 0.875837
Train 160, loss: 1.519031, train acc: 0.941159, train avg acc: 0.915630
Test 160, loss: 1.520239, test acc: 0.906807, test avg acc: 0.877715
Train 161, loss: 1.518639, train acc: 0.944919, train avg acc: 0.920499
Test 161, loss: 1.507605, test acc: 0.913695, test avg acc: 0.872541
Train 162, loss: 1.515655, train acc: 0.945427, train avg acc: 0.919869
Test 162, loss: 1.511942, test acc: 0.915721, test avg acc: 0.888500
